Feature,Importance
Emp-423110,0.0
Est-423110,0.0
Pay-423110,0.0
Emp-423120,0.0
Est-423120,0.0
Pay-423120,0.0
Emp-423130,0.0
Est-423130,0.0
Pay-423130,0.0
Emp-423140,0.0
Est-423140,0.0
Pay-423140,0.0
Emp-423210,0.0
Est-423210,0.0
Pay-423210,0.0
Emp-423220,0.0
Est-423220,0.0
Pay-423220,0.0
Emp-423310,0.0
Est-423310,0.0
Pay-423310,0.0
Emp-423320,0.0
Est-423320,0.0
Pay-423320,0.0
Emp-423330,0.0
Est-423330,0.0
Pay-423330,0.0
Emp-423390,0.0
Est-423390,0.0
Pay-423390,0.0
Emp-423420,0.0
Est-423420,0.0
Pay-423420,0.0
Emp-423430,0.0
Est-423430,0.0
Pay-423430,0.0
Emp-423440,0.0
Est-423440,0.0
Pay-423440,0.0
Emp-423450,0.0
Est-423450,0.0
Pay-423450,0.0
Emp-423490,0.0
Est-423490,0.0
Pay-423490,0.0
Emp-423510,0.0
Est-423510,0.0
Pay-423510,0.0
Emp-423610,0.0
Est-423610,0.0
Pay-423610,0.0
Emp-423690,0.0
Est-423690,0.0
Pay-423690,0.0
Emp-423710,0.0
Est-423710,0.0
Pay-423710,0.0
Emp-423720,0.0
Est-423720,0.0
Pay-423720,0.0
Emp-423730,0.0
Est-423730,0.0
Pay-423730,0.0
Emp-423810,0.0
Est-423810,0.0
Pay-423810,0.0
Emp-423820,4.0
Est-423820,2.0
Pay-423820,0.0
Emp-423830,0.0
Est-423830,0.0
Pay-423830,0.0
Emp-423840,0.0
Est-423840,0.0
Pay-423840,0.0
Emp-423850,0.0
Est-423850,0.0
Pay-423850,0.0
Emp-423860,0.0
Est-423860,0.0
Pay-423860,0.0
Emp-423910,0.0
Est-423910,0.0
Pay-423910,0.0
Emp-423930,1.0
Est-423930,0.0
Pay-423930,0.0
Emp-423940,0.0
Est-423940,0.0
Pay-423940,0.0
Emp-423990,0.0
Est-423990,0.0
Pay-423990,0.0
Emp-424120,0.0
Est-424120,0.0
Pay-424120,0.0
Emp-424130,0.0
Est-424130,0.0
Pay-424130,0.0
Emp-424210,0.0
Est-424210,0.0
Pay-424210,0.0
Emp-424320,0.0
Est-424320,0.0
Pay-424320,0.0
Emp-424330,0.0
