Model,Accuracy,ROC_AUC,F1_Score,Precision,Recall,GMean,Training_Time_Seconds
rfc,1.0,1.0,1.0,1.0,1.0,1.0,7.26
xgboost,0.9863,0.9952,0.9474,1.0,0.9,0.9487,74.55
lr,0.9863,1.0,0.9474,1.0,0.9,0.9487,2.33
mlp,0.9863,1.0,0.9524,0.9091,1.0,0.992,57.27
svm,0.9863,0.9952,0.9474,1.0,0.9,0.9487,1.04
